Title,Date,Excerpt,Rakuten_Title,Rakuten_Description,Rakuten_Count,UnitedAirlines_Title,UnitedAirlines_Description,UnitedAirlines_Count,Chase_Title,Chase_Description,Chase_Count,KaiserPermanente_Title,KaiserPermanente_Description,KaiserPermanente_Count,Adobe_Title,Adobe_Description,Adobe_Count,Powered_By,Presented_By,Sponsors_List,Major_Sponsor,Other_Sponsor
"Stephen Curry Surpasses 25,000 Career Points as Warriors Continue Winning Ways",2025-03-09 04:23:00,Draymond Green hit the go-ahead 3-pointer with 35.2 seconds left to give the Warriors a two-point lead en route to a 115-110 win over the Detroit Pistons at Chase Center on Saturday night.,False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Convert Pat Spencer to Standard NBA Contract, Sign Forward Braxton Key to Two-Way Contract",2025-03-05 00:10:42,"The Golden State Warriors have converted guard Pat Spencer to a standard NBA contract and signed forward Braxton Key to a two-way contract, it was announced Tuesday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Announce 2025 Women’s Empowerment Month Celebrations, Presented By Rakuten",2025-03-04 18:00:00,"The Golden State Warriors have announced celebrations for Women’s Empowerment Month, presented by Rakuten, which includes a variety of activations aimed to inspire youth and women by breaking down barriers, advocating for gender equality, and committing to long-term support. To tip-off the celebrations, the Warriors Women’s Empowerment Month game against the Detroit Pistons on March 8 will be broadcast by all female talent on NBC Sports Bay Area, including Athletics play-by-play announcer Jenny Cavnar and Valkyries forward Monique Billings.
",True,True,2,False,False,0,False,False,0,False,False,0,False,False,0,False,True,"['Rakuten', 'Rakuten']","['Rakuten', 'Rakuten']",[]
Warriors Sign Kevin Knox II to a Second 10-Day Contract,2025-03-01 18:00:00,"The Golden State Warriors have signed forward forward Kevin Knox II to a second 10-day contract, it was announced Saturday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Golden State Sports Academy, Powered By Rakuten, Announces 2025 Summer Camp Schedule",2025-02-27 18:00:00,"Warriors Basketball Academy, powered by Rakuten, has announced its 2025 summer camp schedule, which includes camp sessions at over 25 locations in the Bay Area for youth ages seven to 15. Starting this summer, the Valkyries will host three camps in Sacramento and the Central Valley. Registration is now open for all summer camp sessions at gswacademy.com.",True,True,2,False,False,0,False,False,0,False,False,0,False,False,0,True,False,[],[],[]
Warriors Sign Guard Taran Armstrong to Two-Way Contract,2025-02-26 02:46:22,"The Golden State Warriors have signed guard Taran Armstrong to a two-way contract, it was announced Tuesday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Jonathan Kuminga Injury Update – 2/19/25,2025-02-20 02:15:24,"Warriors forward Jonathan Kuminga, who suffered a sprained right ankle on January 4 vs. Memphis and has missed the last 21 games, returned to team practice this evening at Chase Center for the first time since sustaining the injury. His return to game action will be based on his continued progress and physical readiness.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Sign Yuri Collins and Kevin Knox II to 10-Day Contracts,2025-02-19 23:00:45,"The Golden State Warriors have signed guard Yuri Collins and forward Kevin Knox II to 10-day contracts, it was announced Wednesday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors to Celebrate 10-Year Anniversary Of 2015 Championship Team on February 25,2025-02-18 21:08:31,"The Warriors will celebrate the 10-year anniversary of their 2014-15 NBA championship and recognize multiple members of the team in attendance during halftime of Golden State’s home game against the Charlotte Hornets on Tuesday, February 25.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Dubs Head Into All-Star Break on High Note After Defeating Rockets,2025-02-14 03:29:00,"On the second night of a back-to-back, the Dubs showed no signs of fatigue, beating the Houston Rockets 105-98 at Toyota Center on Thursday night.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Unveil Community Murals in Conjunction with NBA All-Star 2025,2025-02-13 20:33:00,"The Golden State Warriors, in collaboration with the Bay Area Mural Program, will unveil four community murals across Oakland and San Francisco to celebrate the arrival of NBA All-Star 2025.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors and the NBA Announce All-Star Alley and Union Square Activations in Celebration of NBA All-Star 2025,2025-02-11 21:17:00,The Golden State Warriors and the National Basketball Association (NBA) today announced NBA All-Star Alley and Union Square activations in celebration of NBA All-Star 2025.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Jonathan Kuminga Injury Update – 2/10/25,2025-02-10 23:20:13,"Golden State Warriors forward Jonathan Kuminga, who suffered a sprained right ankle on January 4 vs. Memphis and has missed the last 18 games, was recently re-evaluated. He has started on-court workouts and is expected to progress and be incorporated into team practices after the All-Star break.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
NBA All-Star 2025 Brings Five Days of Community Impact and Youth Basketball to the San Francisco Bay Area,2025-02-10 18:45:00,"NBA All-Star 2025, in collaboration with the Golden State Warriors, will deliver five days of social impact and youth basketball events in the San Francisco Bay Area, emphasizing service, wellness, inclusion and grassroots development.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Brandin Podziemski Named to 2025 Rising Stars Roster,2025-02-08 20:10:00,"Golden State Warriors guard Brandin Podziemski has been named to the 2025 Castrol Rising Stars, replacing Oklahoma City’s Cason Wallace, the league announced today.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Sign Quinten Post to Standard NBA Contract,2025-02-07 23:50:45,"The Golden State Warriors have signed center Quinten Post to a standard NBA contract, it was announced today.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Draymond Green, Buddy Hield and Moses Moody to Participate in All-Star Saturday Night",2025-02-07 20:22:25,"Golden State Warriors' forward Draymond Green, wing Moses Moody and guard Buddy Hield are all representing the franchise on All-Star Saturday Night at Chase Center, the league announced on Friday.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Nearly Overcome 26-Point Deficit in Loss to Lakers,2025-02-07 05:38:00,"The Warriors trailed by as many as 26 points in the first half against the Los Angeles Lakers at Crypto.com Arena on Thursday night, but were able to cut the lead to as little as five points in the final minutes of the game.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Acquire Five-Time All-NBA Forward Jimmy Butler From Heat,2025-02-07 01:16:32,"The Golden State Warriors have acquired forward Jimmy Butler from the Miami Heat Heat in a multi-team trade that sends forwards Kyle Anderson and Andrew Wiggins to the Heat, guard Dennis Schröder to the Utah Jazz and guard Lindy Waters III to the Detroit Pistons. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
2025 NBA All-Star Game Uniforms and Court Unveiled,2025-02-06 17:30:00,"The NBA today unveiled the uniforms and court for the 74th NBA All-Star Game on Sunday, Feb. 16 at 5 p.m. PT in San Francisco.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Trayce Jackson-Davis Drafted to Chris Mullin's Team for 2025 NBA Castrol Rising Stars Game, Pat Spencer to Play for Team G",2025-02-04 21:59:15,"Warriors' center/forward Trayce Jackson-Davis has been drafted to Chris Mullin's Team C for the NBA Castrol Rising Stars game. which will take place on Friday, February 14 (5 p.m. on TNT), at Chase Center. ",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Former Warriors' Baron Davis and Matt Barnes to Participate in 2025 Ruffles NBA All-Star Celebrity Game,2025-02-04 16:05:55,Former Warriors' and 'We Believe' teammates Baron Davis and Matt Barnes will represent the franchise in the 2025 Ruffles NBA All-Star Celebrity Game at Oakland Arena on Feb. 14.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Community Foundation Raises Record $3.8 Million at Annual Poker Tournament, Presented By MGM Rewards",2025-02-03 22:30:14,"The Warriors hosted the 11th annual Warriors Community Foundation Poker Tournament, presented by MGM Rewards, on Saturday, February 1, at Chase Center, raising a record $3.8 million for the Warriors Community Foundation. ",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,True,"['MGM Rewards', 'MGM Rewards']",[],"['MGM Rewards', 'MGM Rewards']"
Warriors Announce 2025 Black History Month Celebrations,2025-01-30 18:20:39,"The Golden State Warriors today announced celebrations for Black History Month, which includes a variety of activations aimed to celebrate legacy, inspire change, strengthen the future, and empower voices through community impact.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Trayce Jackson-Davis and Pat Spencer Named to 2025 Rising Stars Roster,2025-01-28 21:53:08,"Golden State Warriors' center/forward Trayce Jackson-Davis and guard Pat Spencer have been selected to participate in the 2025 Castrol Rising Stars, the league announced Tuesday. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Sign Jackson Rowe to Two-Way Contract,2025-01-28 19:31:00,The Golden State Warriors have signed forward Jackson Rowe to a two-way contract.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Golden State Warriors Game Schedule Updates,2025-01-28 17:31:35,The NBA has announced the rescheduling of two Golden State Warriors home games following postponements due to the recent wildfires in Los Angeles.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors to Retire Andre Iguodala’s #9 Jersey on February 23,2025-01-28 17:00:00,"The Golden State Warriors will retire Andre Iguodala’s #9 jersey on Sunday, February 23, following the team’s game against the Dallas Mavericks at Chase Center, making him just the seventh player in Warriors franchise history to have his jersey number retired by the organization",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Draymond Green and Jonathan Kuminga Injury Updates – 1/27/25,2025-01-27 20:25:00,"Warriors forward Draymond Green, who suffered a strained left calf on January 18 vs. Washington and has missed the last four (4) games, was recently re-evaluated.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Fall at Home to Lakers on Saturday Night,2025-01-26 03:59:00,The Golden State Warriors lost to the Los Angeles Lakers 118-108 at Chase Center on Saturday night. Andrew Wiggins scored a team-high 20 points for the Warriors.,False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Stephen Curry Leads NBA’s Top-Selling Jersey List for First Half of Regular Season,2025-01-24 18:37:32,The NBA and NBPA today jointly announced that the Golden State Warriors’ Stephen Curry secured the top spot on the NBA’s Most Popular Jersey list based on NBAStore.com sales for the first half of the 2024-25 regular season.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Guard Stephen Curry Named 2025 NBA All-Star Starter ,2025-01-24 00:47:20,"Golden State Warriors guard Stephen Curry has been named a starter in the 74th NBA All-Star Game, the league announced Thursday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Dubs By the Numbers: Stephen Curry Makes Franchise History with 11th All-Star Selection ,2025-01-24 00:45:23,"Stephen Curry has been selected to a franchise-record 11 All-Star teams and will be making his 10th start, representing the Warriors in the Bay.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce 2025 Lunar New Year Celebrations in Conjunction With NBA All-Star 2025,2025-01-22 18:00:00,The Golden State Warriors have announced a series of Lunar New Year activations celebrating the Year of the Snake throughout the months of January and February.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Fall to Celtics at Home on Monday,2025-01-21 00:17:00,The Golden State Warriors lost 125-85 against the Boston Celtics on Monday at Chase Center.,False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Draymond Green Injury Update – 1/20/25,2025-01-20 21:35:00,"Golden State Warriors forward Draymond Green, who exited Saturday’s game against the Washington Wizards with 9:00 minutes remaining in the first quarter due to a strained left calf, underwent an MRI yesterday. The MRI confirmed that Green suffered a mild calf strain. He will be re-evaluated in one (1) week.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce the Dejan Milojević Brate Award,2025-01-17 19:00:00,"The Golden State Warriors announced the establishment of the Dejan Milojević Brate Award, an annual honor recognizing a basketball operations staff member who embodies the spirit, dedication, and legacy of the late Dejan Milojević.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Golden State Sports Academy, Powered By Rakuten, Announces 2025 Spring Camp Schedule",2025-01-17 16:00:00,"Warriors Basketball Academy, powered by Rakuten, has announced its 2024 spring camp schedule, which includes several camp sessions at over 15 Bay Area locations for youth ages five to 15.",True,True,2,False,False,0,False,False,0,False,False,0,False,False,0,True,False,[],[],[]
"Warriors Announce Tributes to Honor Dr. Martin Luther King Jr. at Celtics Home Matchup on Monday, January 20",2025-01-16 18:11:00,,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Jonathan Kuminga Injury Update – 1/5/25,2025-01-06 00:13:23,"Warriors forward Jonathan Kuminga, who exited last night’s game with 2:27 remaining in the second quarter due to a sprained right ankle, underwent an MRI earlier today. The MRI confirmed that Kuminga suffered a significant lateral ankle sprain. He will be re-evaluated in three (3) weeks.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Gary Payton II Injury Update – 1/4/25,2025-01-04 23:44:00,"Golden State Warriors guard Gary Payton II, who has missed the last four (4) games due to a mild left calf strain suffered against the Los Angeles Lakers on Christmas Day, was recently re-evaluated and he has been cleared to begin individual on-court workouts and will be re-evaluated again next week.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Gary Payton II Injury Update – 12/26/24,2024-12-27 00:35:00,"Golden State Warriors guard Gary Payton II, who exited last night’s game against the Los Angeles Lakers with 9:27 remaining in the fourth quarter, underwent an MRI earlier today that confirmed that Payton II has suffered a mild strain of his left calf.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Dennis Schröder Provides Warriors with Versatile Veteran Combo Guard,2024-12-17 18:49:04,"Newly acquired Warriors guard Dennis Schroder has been described by his peers as a tenacious defender, competitor, pick-and-roll playmaker, shot creator and flat-out dog. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Acquire Guard Dennis Schröder From Nets,2024-12-15 17:00:33,"The Golden State Warriors have acquired guard Dennis Schröder (SHROO-der) and a second round draft pick (2025 via Miami, top 37 protected) from the Brooklyn Nets in exchange for guard De’Anthony Melton, guard Reece Beekman and three second round draft picks.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Send Condolences After Passing of Ernie Beck,2024-12-12 20:08:34,"The Golden State Warriors send condolences to the family of Ernie Beck, who passed away on Thursday at the age of 93.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Second Half Surge Propels Them to Win Over Timberwolves,2024-12-09 03:59:00,The Golden State Warriors outscored the Minnesota Timberwolves by 17 points in the second half in a 114-106 comeback victory on Sunday night at Chase Center.,False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Draymond Green Injury Update – 12/5/24,2024-12-05 23:11:56,"Golden State Warriors forward Draymond Green, who did not play in Tuesday’s game in Denver due to left calf tightness, underwent an MRI yesterday. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Dubs Rally From 19-Point Deficit, Fall Just Short Against Thunder",2024-11-28 05:39:00,"The Golden State Warriors trailed by as many as 19 points in Wednesday's matchup against the Oklahoma City Thunder at Chase Center, but clawed back in the second half with a chance to tie or win the game in their final possession.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce Annual ‘Dubsgiving’ Offers With a Variety of Deals Over Thanksgiving Weekend,2024-11-27 22:00:00,"The Golden State Warriors’ annual celebration of ‘Dubsgiving’ launches on Friday, November 29, to celebrate the Thanksgiving holiday and provide fans with a variety of deals, including a no-fee offer on single game Warriors tickets, Warriors Shop online merchandise discounts, and deals on Chase Center events.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce Season of Giving Efforts for 2024 Holiday Season,2024-11-25 18:57:19,"As part of the NBA Cares Season of Giving league-wide campaign, Golden State Warriors players, coaches, and front office staff will host a variety of events this holiday season to brighten the lives of local families and youth.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Announce Seasonlong Hoops for Troops Activations, Presented by Rocket Lawyer",2024-11-22 18:00:00,"The Golden State Warriors have announced Hoops for Troops activations, presented by Rocket Lawyer, for the 2024-25 NBA season, with a variety of events and in-arena recognitions planned to honor United States military service members and veterans at home and abroad.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,True,"['Rocket Lawyer', 'Rocket Lawyer']",[],"['Rocket Lawyer', 'Rocket Lawyer']"
De’Anthony Melton Injury Update – 11/20/24,2024-11-21 01:35:50,"Golden State Warriors guard De’Anthony Melton who has missed the last two (2) games due to a sprained left ACL, underwent further testing to determine the extent of the injury. The tests indicated that it is in De’Anthony’s best interest to proceed with ACL surgery. He is scheduled for surgery in the near future and will miss the remainder of the 2024-25 season.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Announce Holiday Hoops Mini-Plans, Presented by Rakuten",2024-11-15 18:00:00,"The Golden State Warriors have announced the team’s Holiday Hoops Mini-Plans, presented by Rakuten, which feature marquee matchups with no ticket fees.",True,True,2,False,False,0,False,False,0,False,False,0,False,False,0,False,True,"['Rakuten', 'Rakuten']","['Rakuten', 'Rakuten']",[]
Warriors Unveil 2024-25 NBA City Edition Uniform,2024-11-14 15:00:00,"The Golden State Warriors have unveiled their 2024-25 Nike NBA City Edition Uniform and tipped off their second year of The City Calls, presented by Rakuten, a campaign rooted in celebrating San Francisco's iconic landmarks.",False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,False,True,['Rakuten'],['Rakuten'],[]
Warriors Assign Gui Santos to Santa Cruz,2024-11-14 01:31:35,"The Golden State Warriors have assigned forward Gui Santos to the team’s G League affiliate, the Santa Cruz Warriors.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce Activations for 2024 Emirates NBA Cup Home Games,2024-11-11 23:27:06,"The Golden State Warriors have announced activations for the team’s 2024 Emirates NBA Cup home games, also known as Warriors Cup Games, the first of which will take place November 12, against the Dallas Mavericks at 7 p.m.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors to Salute Captain Klay Prior to Nov. 12 Game at Chase Center,2024-11-08 20:30:34,"The Golden State Warriors will “Salute Captain Klay” prior to tip-off of Klay Thompson’s return to Chase Center on Nov. 12. All fans in attendance will receive Captain’s Hats, presented by Kaiser Permanente, in honor of the four-time NBA champion who frequently navigated the waters of the San Francisco Bay on his 37-foot fishing vessel.",False,False,0,False,False,0,True,True,2,False,True,1,False,False,0,False,True,['Kaiser Permanente'],['Kaiser Permanente'],[]
Stephen Curry & De’Anthony Melton Injury Updates – 11/1/24,2024-11-01 23:05:00,"Golden State Warriors guard Stephen Curry, who has missed the last two (2) games due to a left peroneal strain, was re-evaluated earlier today.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
NBA Foundation to Host Fourth All-Star Pitch Competition for Local Small Businesses as Part of NBA All-Star 2025,2024-10-31 16:10:00,"The NBA Foundation today announced the fourth All-Star Pitch Competition, which will take place during NBA All-Star 2025 in the San Francisco Bay Area.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Dubs Defeat Pelicans for Second Time in Two Nights,2024-10-31 04:31:00,Six Dubs scored in double figures as the Golden State Warriors defeated the New Orleans Pelicans 104-89 at Chase Center on Wednesday night.,False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Exercise Contract Option on Brandin Podziemski,2024-10-31 01:38:00,"The Golden State Warriors have exercised the third-year contract option on guard Brandin Podziemski, it was announced today.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Stephen Curry & De’Anthony Melton Injury Updates – 10/28/24,2024-10-28 19:43:12,"Golden State Warriors guard Stephen Curry, who exited last night’s game against the Los Angeles Clippers with 7:55 remaining in the fourth quarter, underwent an MRI late last night. The MRI showed no structural damage and confirmed the injury as a left peroneal strain. He will be re-evaluated on Friday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Announce Activations for 2024-25 Home Opener, Presented by Chase Freedom",2024-10-25 17:00:00,"The Golden State Warriors today announced activations for the team’s Home Opener, presented by Chase Freedom, when they take on the LA Clippers on Sunday, October 27, at 5:30 p.m.",False,False,0,False,False,0,True,True,2,False,False,0,False,False,0,False,True,"['Chase Freedom', 'Chase Freedom']",[],"['Chase Freedom', 'Chase Freedom']"
Warriors Announce Partnership With Coinbase,2024-10-22 16:00:00,"The Golden State Warriors have announced a partnership with Coinbase, a secure online platform for buying, selling, transferring, and storing cryptocurrency. Coinbase will become the official cryptocurrency platform and blockchain partner of the Warriors and Chase Center.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
Warriors Announce 2024-25 Opening Night Roster,2024-10-22 00:28:32,The Golden State Warriors have announced their 2024-25 Opening Night roster prior to Wednesday’s season opener at Portland.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Sign Moses Moody to Multi-Year Contract Extension,2024-10-21 21:00:33,The Golden State Warriors have signed guard Moses Moody to a multi-year contract extension. ,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Waive Blake Hinson, Kevin Knox II & Jackson Rowe",2024-10-19 21:10:26,"The Golden State Warriors have waived guard Blake Hinson, forward Kevin Knox II and forward Jackson Rowe, it was announced today.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors to Honor Jerry West with Court Decal at Chase Center Throughout the 2024-25 Season,2024-10-17 20:15:44,"The Golden State Warriors will honor Naismith Basketball Hall of Famer Jerry West, who served as an Executive Board Member for the Warriors from 2011-17, with a “JW” court decal at Chase Center throughout the 2024-25 season.",False,False,0,False,False,0,True,True,2,False,False,0,False,False,0,False,False,[],[],[]
